央视频道,#genre#
CCTV1-综合,http://61.162.52.6:8088/newlive/live/hls/1/live.m3u8
CCTV1-综合,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://61.162.52.6:8088/newlive/live/hls/2/live.m3u8
CCTV2-财经,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://61.162.52.6:8088/newlive/live/hls/3/live.m3u8
CCTV3-综艺,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8
CCTV4-国际,http://61.162.52.6:8088/newlive/live/hls/4/live.m3u8
CCTV4-国际,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://61.162.52.6:8088/newlive/live/hls/5/live.m3u8
CCTV5-体育,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8
CCTV5+赛事,http://61.162.52.6:8088/newlive/live/hls/6/live.m3u8
CCTV6-电影,http://61.162.52.6:8088/newlive/live/hls/7/live.m3u8
CCTV6-电影,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8
CCTV7-军事,http://61.162.52.6:8088/newlive/live/hls/8/live.m3u8
CCTV7-军事,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://61.162.52.6:8088/newlive/live/hls/9/live.m3u8
CCTV8-电视剧,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8
CCTV9-记录,http://61.162.52.6:8088/newlive/live/hls/10/live.m3u8
CCTV9-纪录,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8
CCTV10-科教,http://61.162.52.6:8088/newlive/live/hls/11/live.m3u8
CCTV10-科教,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://61.162.52.6:8088/newlive/live/hls/12/live.m3u8
CCTV11-戏曲,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://61.162.52.6:8088/newlive/live/hls/13/live.m3u8
CCTV12-社会与法,http://124.128.73.58:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://61.162.52.6:8088/newlive/live/hls/14/live.m3u8
CCTV13-新闻,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://61.162.52.6:8088/newlive/live/hls/15/live.m3u8
CCTV14-少儿,http://124.128.73.58:9901/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://61.162.52.6:8088/newlive/live/hls/16/live.m3u8
CCTV15-音乐,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8
山东卫视,http://61.162.52.6:8088/newlive/live/hls/18/live.m3u8
山东卫视,http://124.128.73.58:9901/tsfile/live/0107_1.m3u8
齐鲁高清,http://124.128.73.58:9901/tsfile/live/1000_1.m3u8
山东体育,http://124.128.73.58:9901/tsfile/live/1001_1.m3u8
山东综艺,http://124.128.73.58:9901/tsfile/live/1002_1.m3u8
山东影视,http://124.128.73.58:9901/tsfile/live/1009_1.m3u8
济南综合,http://124.128.73.58:9901/tsfile/live/1003_1.m3u8
济南都市,http://124.128.73.58:9901/tsfile/live/1004_1.m3u8
济南影视,http://124.128.73.58:9901/tsfile/live/1005_1.m3u8
湖南卫视,http://61.162.52.6:8088/newlive/live/hls/19/live.m3u8
湖南卫视,http://124.128.73.58:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://61.162.52.6:8088/newlive/live/hls/20/live.m3u8
北京卫视,http://61.162.52.6:8088/newlive/live/hls/24/live.m3u8
北京卫视,http://124.128.73.58:9901/tsfile/live/0122_1.m3u8
上海卫视,http://61.162.52.6:8088/newlive/live/hls/22/live.m3u8
上海卫视,http://124.128.73.58:9901/tsfile/live/0107_2.m3u8
江苏卫视,http://61.162.52.6:8088/newlive/live/hls/23/live.m3u8
江苏卫视,http://124.128.73.58:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://61.162.52.6:8088/newlive/live/hls/25/live.m3u8
天津卫视,http://61.162.52.6:8088/newlive/live/hls/27/live.m3u8
天津卫视,http://124.128.73.58:9901/tsfile/live/0135_1.m3u8
浙江卫视,http://124.128.73.58:9901/tsfile/live/0124_1.m3u8
广西卫视,http://61.162.52.6:8088/newlive/live/hls/29/live.m3u8
湖北卫视,http://61.162.52.6:8088/newlive/live/hls/28/live.m3u8
湖北卫视,http://124.128.73.58:9901/tsfile/live/0132_1.m3u8
深圳卫视,http://61.162.52.6:8088/newlive/live/hls/26/live.m3u8
黑龙江卫视,http://61.162.52.6:8088/newlive/live/hls/31/live.m3u8
辽宁卫视,http://61.162.52.6:8088/newlive/live/hls/30/live.m3u8
广东卫视,http://124.128.73.58:9901/tsfile/live/0125_1.m3u8
江西卫视,http://61.162.52.6:8088/newlive/live/hls/32/live.m3u8
重庆卫视,http://61.162.52.6:8088/newlive/live/hls/33/live.m3u8
河南卫视,http://61.162.52.6:8088/newlive/live/hls/35/live.m3u8
山东教育卫视,http://61.162.52.6:8088/newlive/live/hls/63/live.m3u8
教育卫视1,http://61.162.52.6:8088/newlive/live/hls/64/live.m3u8
山东少儿,http://61.162.52.6:8088/newlive/live/hls/66/live.m3u8
喜爱频道,#genre#
黑莓电影[1920x1080],http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓动画[1920x1080],http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
超级电影[1920x1080],http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
影迷电影,http://61.162.52.6:8088/newlive/live/hls/62/live.m3u8
动作电影,http://61.162.52.6:8088/newlive/live/hls/61/live.m3u8
海看大片,http://124.128.73.58:9901/tsfile/live/1006_1.m3u8
私人影院,http://13457610200.8866.org:2018/live/影视频道HD/index.m3u8
星光电影台[1280x720],http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典频道[1920x1080],http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
神乐影片2[1920x1080],http://epg.112114.xyz/douyu/85894
特辑影院[1920x1080],http://epg.112114.xyz/douyu/3637778
榜单电影[1920x1080],http://allinone.netsite.cc/douyu/8770422
